Time,PM2.5,PM10,CO,NO2,O3
19:58:56,203,127,12.8,28.2,15.6
19:59:03,203,127,12.8,28.2,15.6
19:59:09,203,127,12.8,28.2,15.6
19:59:16,203,127,12.8,28.2,15.6
19:59:22,203,127,12.8,28.2,15.6
19:59:29,203,127,12.8,28.2,15.6
19:59:35,203,127,12.8,28.2,15.6
19:59:42,203,127,12.8,28.2,15.6
19:59:48,203,127,12.8,28.2,15.6
19:59:55,203,127,12.8,28.2,15.6
20:00:01,203,127,12.8,28.2,15.6
20:00:08,203,127,12.8,28.2,15.6
20:00:14,203,127,12.8,28.2,15.6
20:00:20,203,127,12.8,28.2,15.6
20:00:27,203,127,12.8,28.2,15.6
20:00:33,203,127,12.8,28.2,15.6
20:00:40,203,127,12.8,28.2,15.6
20:00:46,203,127,12.8,28.2,15.6
20:00:53,203,127,12.8,28.2,15.6
20:01:00,203,127,12.8,28.2,15.6
20:01:06,203,127,12.8,28.2,15.6
20:01:13,203,127,12.8,28.2,15.6
20:01:19,203,127,12.8,28.2,15.6
20:01:26,203,127,12.8,28.2,15.6
20:01:32,203,127,12.8,28.2,15.6
